date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:02	46169/46169	---M--	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:20:05%20GMT	https://www.energy.gov/technologytransitions/office-technology-transitions	/Users/zo/websites/doe/www.energy.gov/technologytransitions/office-technology-transitions.html	(from )
16:26:03	1494/1494	---M--	200	added ('OK')	text/plain	date:Thu,%2029%20Dec%202016%2023:04:18%20GMT	https://www.energy.gov/robots.txt		(from )
16:26:19	30292/30292	---M--	200	added ('OK')	text/html	etag:%227654-52365334e6cc0;98-4e927a8cf5900%22	https://www.w3.org/1999/xhtml/vocab	/Users/zo/websites/doe/www.w3.org/1999/xhtml/vocab.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:26:19	0/0	---M--	200	added ('OK')	text/css	etag:%221685107488%22	http://fast.fonts.com/t/1.css?apiType=css&projectid=b893a4ff-9ea3-4ce8-bf77-c8d3e3a3de97	/Users/zo/websites/doe/fast.fonts.com/t/1.22a18.delayed	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:26:23	28972/28972	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:26:20%20GMT	https://www.energy.gov/technologytransitions/services	/Users/zo/websites/doe/www.energy.gov/technologytransitions/services.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:26:26	38136/38136	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:26:23%20GMT	https://www.energy.gov/technologytransitions/us-department-energys-clean-energy-investment-center	/Users/zo/websites/doe/www.energy.gov/technologytransitions/us-department-energys-clean-energy-investment-center.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:26:28	30875/30875	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:26:26%20GMT	https://www.energy.gov/technologytransitions/data-collection-and-analysis	/Users/zo/websites/doe/www.energy.gov/technologytransitions/data-collection-and-analysis.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:26:30	29688/29688	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:26:28%20GMT	https://www.energy.gov/technologytransitions/evidence-based-evaluations	/Users/zo/websites/doe/www.energy.gov/technologytransitions/evidence-based-evaluations.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:26:32	29309/29309	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:26:30%20GMT	https://www.energy.gov/technologytransitions/stakeholder-engagement	/Users/zo/websites/doe/www.energy.gov/technologytransitions/stakeholder-engagement.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:26:34	31124/31124	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:26:32%20GMT	https://www.energy.gov/technologytransitions/technology-commercialization-fund	/Users/zo/websites/doe/www.energy.gov/technologytransitions/technology-commercialization-fund.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:26:37	28994/28994	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:26:34%20GMT	https://www.energy.gov/technologytransitions/gateway-accelerated-innovation-nuclear	/Users/zo/websites/doe/www.energy.gov/technologytransitions/gateway-accelerated-innovation-nuclear.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:26:39	28063/28063	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:26:37%20GMT	https://www.energy.gov/technologytransitions/resources	/Users/zo/websites/doe/www.energy.gov/technologytransitions/resources.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
